url,location,floor,floors_count,rooms_count,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground
https://www.cian.ru/sale/flat/308167237/,Москва,5,7,1,9000000,1978,,,18 м²,8 м²,Северное Измайлово,15-я Парковая ,54,Щёлковская
https://www.cian.ru/sale/flat/302263383/,Москва,14,45,1,12800000,2026,,Без отделки,20 м²,11 м²,Нижегородский,Перовское шоссе,,Нижегородская
https://www.cian.ru/sale/flat/300878920/,Москва,10,12,1,19372498,2026,Монолитно-кирпичный,"Без отделки, черновая, чистовая","11,8 м²","11,7 м²",Преображенское,Электрозаводская ,60,Преображенская площадь
https://www.cian.ru/sale/flat/298254403/,Москва,4,33,1,23600000,0,,,"22,9 м²",15 м²,Останкинский, Годовикова,11к2,Алексеевская
https://www.cian.ru/sale/flat/263316279/,Москва,1,16,1,9450000,1982,,,,,Чертаново Центральное,Варшавское шоссе,142К2,Пражская
https://www.cian.ru/sale/flat/305914270/,Москва,2,24,1,16906360,2027,Монолитно-кирпичный,Без отделки,"18,8 м²",,Сокольники, Гастелло,,Сокольники
https://www.cian.ru/sale/flat/303983520/,Москва,13,17,1,11000000,2018,,,"17,6 м²",15 м²,, Бачуринская,7к2,Бачуринская
https://www.cian.ru/sale/flat/308309936/,Москва,46,48,1,15478241,2027,Монолитно-кирпичный,"Без отделки, предчистовая","10,1 м²",,Покровское-Стрешнево,,,Тушинская
https://www.cian.ru/sale/flat/307043068/,Москва,9,28,1,14500000,2023,,,"9,1 м²","14,2 м²",Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского
https://www.cian.ru/sale/flat/306225030/,Москва,2,18,1,15834000,2028,Монолитно-кирпичный,"Без отделки, предчистовая","11,7 м²",13 м²,Покровское-Стрешнево,,,Тушинская
https://www.cian.ru/sale/flat/297087850/,Москва,51,75,1,85000000,0,,,69 м²,15 м²,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
https://www.cian.ru/sale/flat/309128668/,Москва,5,9,1,10990000,1970,,,"17,1 м²","8,1 м²",Чертаново Центральное,Чертановская ,29К2,Пражская
https://www.cian.ru/sale/flat/306745759/,Москва,5,17,1,7582202,2025,,Без отделки,"11,8 м²","10,6 м²",,,7.1,Бунинская аллея
https://www.cian.ru/sale/flat/305914382/,Москва,4,28,1,20443620,2027,Монолитно-кирпичный,Без отделки,"17,9 м²",,Сокольники, Матросская Тишина,1А,Сокольники
https://www.cian.ru/sale/flat/306741319/,Москва,2,16,1,20328519,2025,Монолитно-кирпичный,"Предчистовая, чистовая","13,5 м²","10,7 м²",Сокол, Зорге,25С2,Октябрьское поле
https://www.cian.ru/sale/flat/301859610/,Москва,13,24,1,17750000,0,,,"11,4 м²","17,7 м²",Донской,,к3,Верхние котлы
https://www.cian.ru/sale/flat/303818206/,Москва,5,17,1,34900000,2024,,,"16,1 м²","16,8 м²",Гагаринский,Ленинский проспект,38,Ленинский проспект
https://www.cian.ru/sale/flat/308102979/,Москва,4,17,1,9700000,1987,,,19 м²,7 м²,Солнцево,Солнцевский проспект,23,Говорово
https://www.cian.ru/sale/flat/300605508/,Москва,2,19,1,9237580,2026,,Чистовая,"18,4 м²","10,8 м²",,,,
https://www.cian.ru/sale/flat/308951949/,Москва,40,63,1,57600000,0,,,45 м²,,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити
https://www.cian.ru/sale/flat/308261330/,Москва,2,10,1,9870000,2021,,,,12 м²,, Золотошвейная,6,Филатов Луг
https://www.cian.ru/sale/flat/302124615/,Москва,33,34,1,21433520,2028,Монолитный,"Без отделки, предчистовая","11,5 м²",,Левобережный,Ленинградское шоссе,,Беломорская
https://www.cian.ru/sale/flat/300288260/,Москва,12,49,1,20029414,2025,Монолитный,"Предчистовая, чистовая","13,1 м²",,Савеловский,,,Дмитровская
https://www.cian.ru/sale/flat/303256815/,Москва,14,16,1,14400000,1978,,,"19,5 м²",10 м²,Хорошевский, Поликарпова,19К2,Беговая
https://www.cian.ru/sale/flat/308914941/,Москва,12,23,1,6713382,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","11,2 м²","10,6 м²",,,13,Летово
https://www.cian.ru/sale/flat/309016297/,Москва,9,9,1,6715221,2025,Монолитно-кирпичный,"Без отделки, чистовая","24,2 м²","3,9 м²",,,к3,Силикатная
https://www.cian.ru/sale/flat/308657160/,Москва,1,9,1,6747548,2025,Монолитно-кирпичный,"Без отделки, чистовая","12,8 м²","8,3 м²",,,к4,Силикатная
https://www.cian.ru/sale/flat/308650252/,Москва,12,17,1,6681423,2025,Монолитно-кирпичный,"Без отделки, чистовая","10,8 м²","9,8 м²",,,к4,Филатов Луг
https://www.cian.ru/sale/flat/308966448/,Москва,2,9,1,6684490,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","16,3 м²","10,8 м²",,,к31,Рассказовка
https://www.cian.ru/sale/flat/306745450/,Москва,7,9,1,6705550,2026,Монолитно-кирпичный,"Без отделки, чистовая",,,,,2,Толстопальцево
https://www.cian.ru/sale/flat/308650748/,Москва,14,14,1,6910594,2026,Монолитно-кирпичный,"Без отделки, чистовая","10,3 м²","10,7 м²",,,6,Рассказовка
https://www.cian.ru/sale/flat/308704292/,Москва,10,23,1,6923466,2026,Монолитно-кирпичный,"Без отделки, предчистовая, чистовая","10,8 м²","11,5 м²",,,,Филатов Луг
https://www.cian.ru/sale/flat/297846922/,Москва,1,3,1,6930000,2023,,Без отделки,,,, Генерала Донскова,29к5,Апрелевка
https://www.cian.ru/sale/flat/308653436/,Москва,14,14,1,7236227,2025,Монолитно-кирпичный,"Без отделки, чистовая","10,8 м²","9,8 м²",Молжаниновский,,к4,Новоподрезково
https://www.cian.ru/sale/flat/308966412/,Москва,9,9,1,7233334,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая","15,3 м²","11,5 м²",,,к33,Рассказовка
https://www.cian.ru/sale/flat/301203205/,Москва,1,3,1,7198400,2022,,Без отделки,,,ТАО (Троицкий), Генерала Донскова,25к4,
https://www.cian.ru/sale/flat/309066258/,Москва,14,14,1,7380000,2009,,,17 м²,"8,5 м²",Южное Бутово, Брусилова,7,Щербинка
https://www.cian.ru/sale/flat/297846888/,Москва,1,3,1,7435800,2023,,Без отделки,,,, Генерала Донскова,29к5,Апрелевка
https://www.cian.ru/sale/flat/291103112/,Москва,2,3,1,7371000,2023,,Без отделки,,,ТАО (Троицкий), Генерала Донскова,27к5,
https://www.cian.ru/sale/flat/308761985/,Москва,2,16,1,7579616,2026,Монолитный,"Без отделки, предчистовая, чистовая",,,поселок Газопровод, Лесные Поляны 5-я,2,Корниловская
https://www.cian.ru/sale/flat/308762092/,Москва,2,16,1,7570373,2026,Монолитный,"Без отделки, предчистовая, чистовая",,,поселок Газопровод, Лесные Поляны 5-я,,Корниловская
https://www.cian.ru/sale/flat/308762153/,Москва,13,16,1,7532645,2026,Монолитный,"Без отделки, предчистовая, чистовая",,,поселок Газопровод, Лесные Поляны 5-я,,Корниловская
https://www.cian.ru/sale/flat/307211222/,Москва,8,9,1,117936000,2023,Монолитный,"Без отделки, чистовая с мебелью",,,Тверской,1-я Тверская-Ямская ,2,Маяковская
https://www.cian.ru/sale/flat/299890518/,Москва,9,40,1,32000000,0,,,"23,4 м²","4,9 м²",Хорошевский,Ленинградский проспект,37/4,ЦСКА
https://www.cian.ru/sale/flat/301550653/,Москва,13,41,1,31000000,0,,,"23,4 м²","4,9 м²",Хорошевский,Ленинградский проспект,37/6,Аэропорт
https://www.cian.ru/sale/flat/306243017/,Москва,2,27,1,21798900,2026,Монолитно-кирпичный,"Без отделки, чистовая","26,8 м²","7,8 м²",Басманный, Фридриха Энгельса,56С9,Бауманская
https://www.cian.ru/sale/flat/303027445/,Москва,3,20,1,61800000,2023,,,39 м²,15 м²,Пресненский, Костикова,4к6,Улица 1905 года
https://www.cian.ru/sale/flat/268629674/,Москва,10,10,1,11280000,1994,,,"20,7 м²","8,4 м²",Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект
